*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=LED ARRAY V1_0
*Date=17:29:52
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
161;;;143.243;-144.37;0;Bottom;Via2625
162;;;140.244;-107.37;0;Bottom;Via2318
163;;;102.244;-64.3704;0;Bottom;Via977
164;;;248.243;-104.37;0;Bottom;Via1455
165;;;163.244;-85.3707;0;Bottom;Via1923
166;;;203.244;-168.37;0;Bottom;Via1988
167;;;223.244;-125.37;0;Bottom;Via1157
168;;;118.244;-106.371;0;Bottom;Via2189
169;;;142.244;-149.371;0;Bottom;Via2343
170;;;226.244;-103.37;0;Bottom;Via1547
171;;;267.244;-124.371;0;Bottom;Via1587
172;;;59.2437;-22.3707;0;Bottom;Via656
173;;;245.244;-21.3702;0;Bottom;Via1240
174;;;203.244;-38.3703;0;Bottom;Via2095
175;;;225.244;-64.3705;0;Bottom;Via1274
176;;;204.244;-62.3704;0;Bottom;Via2170
177;;;245.244;-17.3703;0;Bottom;Via1457
178;;;77.2437;-170.37;0;Bottom;Via756
179;;;78.2436;-144.37;0;Bottom;Via817
180;;;288.244;-166.37;0;Bottom;Via1684
181;;;56.244;-166.371;0;Bottom;Via591
182;;;244.244;-146.37;0;Bottom;Via1712
183;;;244.244;-165.37;0;Bottom;Via1344
184;;;39.2435;-169.37;0;Bottom;Via419
185;;;226.244;-168.37;0;Bottom;Via1786
186;;;17.2437;-59.3703;0;Bottom;Via163
187;;;265.244;-166.371;0;Bottom;Via1223
188;;;162.244;-80.3706;0;Bottom;Via2419
189;;;204.244;-102.37;0;Bottom;Via2572
190;;;164.244;-124.371;0;Bottom;Via2682
191;;;35.2436;-39.37;0;Bottom;Via475
192;;;103.244;-21.3701;0;Bottom;Via962
193;;;100.244;-22.3703;0;Bottom;Via1021
194;;;161.244;-81.3705;0;Bottom;Via2486
195;;;206.244;-146.371;0;Bottom;Via2530
196;;;205.244;-80.3703;0;Bottom;Via2269
197;;;54.2439;-124.371;0;Bottom;Via622
198;1–5Watt;luxeon;267.319;-167.134;-90;Bottom;U89
199;;;122.244;-165.37;0;Bottom;Via2115
